,movie,B2_cnt__max,B2_wrd__max,count__max,length__max,A2_cnt__max,A2_wrd__max,A1_cnt__max,A1_wrd__max,B1_cnt__max,B1_wrd__max,ne_cnt__max,C1_cnt__max,C1_wrd__max,seconds__max,B2_cnt_pw__max,B2_wrd_pw__max,A2_cnt_pw__max,A2_wrd_pw__max,A1_cnt_pw__max,A1_wrd_pw__max,B1_cnt_pw__max,B1_wrd_pw__max,ne_cnt_pw__max,C1_cnt_pw__max,C1_wrd_pw__max,B2_cnt_ps__max,B2_wrd_ps__max,A2_cnt_ps__max,A2_wrd_ps__max,A1_cnt_ps__max,A1_wrd_ps__max,B1_cnt_ps__max,B1_wrd_ps__max,ne_cnt_ps__max,C1_cnt_ps__max,C1_wrd_ps__max,B2_cnt_mean,B2_wrd_mean,count_mean,length_mean,A2_cnt_mean,A2_wrd_mean,A1_cnt_mean,A1_wrd_mean,B1_cnt_mean,B1_wrd_mean,ne_cnt_mean,C1_cnt_mean,C1_wrd_mean,seconds_mean,B2_cnt_pw_mean,B2_wrd_pw_mean,A2_cnt_pw_mean,A2_wrd_pw_mean,A1_cnt_pw_mean,A1_wrd_pw_mean,B1_cnt_pw_mean,B1_wrd_pw_mean,ne_cnt_pw_mean,C1_cnt_pw_mean,C1_wrd_pw_mean,B2_cnt_ps_mean,B2_wrd_ps_mean,A2_cnt_ps_mean,A2_wrd_ps_mean,A1_cnt_ps_mean,A1_wrd_ps_mean,B1_cnt_ps_mean,B1_wrd_ps_mean,ne_cnt_ps_mean,C1_cnt_ps_mean,C1_wrd_ps_mean,B2_cnt,B2_wrd,count,length,A2_cnt,A2_wrd,A1_cnt,A1_wrd,B1_cnt,B1_wrd,ne_cnt,C1_cnt,C1_wrd,seconds,B2_cnt_pw,B2_wrd_pw,A2_cnt_pw,A2_wrd_pw,A1_cnt_pw,A1_wrd_pw,B1_cnt_pw,B1_wrd_pw,ne_cnt_pw,C1_cnt_pw,C1_wrd_pw,B2_cnt_ps,B2_wrd_ps,A2_cnt_ps,A2_wrd_ps,A1_cnt_ps,A1_wrd_ps,B1_cnt_ps,B1_wrd_ps,ne_cnt_ps,C1_cnt_ps,C1_wrd_ps,level
0,The Walking Dead-S01E01-Days Gone Bye.English,4.0,4.0,8.0,41.0,3.0,3.0,7.0,5.0,3.0,3.0,5.0,2.0,2.0,4.797,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,8.0,8.0,32.0,32.0,1.41,1.41,2.14,0.81,0.8,0.2229,0.2229,2.7875,13.3789,0.3596,0.3477,0.9955,0.9406,0.1783,0.1783,0.1025,0.0906,0.0862,2.1956,0.0767,0.0767,0.1263,0.1219,0.3713,0.3442,0.0556,0.0556,0.0446,0.0334,0.0321,0.1041,0.1041,0.179,0.1734,0.4996,0.4759,0.0781,0.0781,0.0491,0.0415,0.0399,150.0,90.0,1876.0,4342.0,242.0,112.0,670.0,198.0,120.0,66.0,124.0,61.0,35.0,4016.215,0.1899,0.1139,0.3063,0.1418,0.8481,0.2506,0.1519,0.0835,0.157,0.0772,0.0443,0.04,0.02,0.06,0.03,0.17,0.05,0.03,0.02,0.03,0.02,0.01,A2
1,The Walking Dead-S01E02-Guts.English,2.0,2.0,8.0,41.0,3.0,3.0,5.0,5.0,3.0,3.0,7.0,2.0,2.0,4.671,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,1.26,1.26,2.12,2.12,2.28,2.26,1.5,1.5,3.05,1.3,1.3,0.2664,0.263,3.0381,14.4931,0.3391,0.3356,0.9083,0.8824,0.2076,0.2007,0.1332,0.0675,0.0675,2.2077,0.0868,0.0854,0.1097,0.1074,0.2784,0.2677,0.0659,0.0621,0.0565,0.023,0.023,0.1243,0.1232,0.1504,0.1487,0.4185,0.4079,0.0982,0.0951,0.0616,0.0303,0.0303,154.0,63.0,1759.0,3931.0,196.0,111.0,525.0,170.0,120.0,72.0,140.0,39.0,25.0,2659.63,0.2133,0.0873,0.2715,0.1537,0.7271,0.2355,0.1662,0.0997,0.1939,0.054,0.0346,0.06,0.02,0.07,0.04,0.2,0.06,0.05,0.03,0.05,0.01,0.01,A2
2,The Walking Dead-S01E03-Tell It To The Frogs.English,3.0,3.0,10.0,47.0,3.0,3.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,4.588,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.2,1.2,1.67,1.67,3.0,2.25,1.78,1.2,2.18,1.2,1.14,0.2482,0.2453,3.0548,14.2843,0.4084,0.3983,0.9394,0.912,0.1659,0.1616,0.1356,0.0967,0.0938,2.2185,0.0825,0.0811,0.1327,0.1276,0.3115,0.3004,0.0531,0.0516,0.0531,0.0289,0.0281,0.1129,0.1117,0.1851,0.1811,0.4391,0.4258,0.0751,0.0722,0.0636,0.046,0.0446,172.0,86.0,2121.0,4491.0,283.0,133.0,651.0,188.0,115.0,62.0,216.0,67.0,37.0,2675.74,0.21,0.105,0.3455,0.1624,0.7949,0.2295,0.1404,0.0757,0.2637,0.0818,0.0452,0.06,0.03,0.11,0.05,0.24,0.07,0.04,0.02,0.08,0.03,0.01,A2
3,The Walking Dead-S01E04-Vatos.English,2.0,2.0,8.0,39.0,2.0,2.0,5.0,4.0,2.0,2.0,3.0,1.0,1.0,4.546,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.33,1.33,1.23,1.09,3.84,3.84,1.2,1.2,2.32,0.67,0.67,0.2319,0.2303,2.8912,13.8344,0.3391,0.3312,0.9448,0.9196,0.1909,0.1877,0.1593,0.0568,0.0568,2.2647,0.0747,0.0745,0.1202,0.1163,0.3324,0.3187,0.0638,0.0622,0.069,0.0238,0.0238,0.102,0.1013,0.153,0.149,0.4362,0.425,0.0851,0.0836,0.0802,0.0262,0.0262,147.0,73.0,1833.0,4243.0,215.0,104.0,599.0,188.0,121.0,66.0,152.0,36.0,25.0,2657.867,0.1914,0.0951,0.2799,0.1354,0.7799,0.2448,0.1576,0.0859,0.1979,0.0469,0.0326,0.06,0.03,0.08,0.04,0.23,0.07,0.05,0.02,0.06,0.01,0.01,A2
4,The Walking Dead-S01E05-Wildfire.English,3.0,3.0,8.0,41.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,4.588,1.0,1.0,1.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.38,1.38,2.74,2.32,1.33,1.33,1.55,0.77,0.77,0.1948,0.1948,2.7086,13.3103,0.3448,0.3414,0.8931,0.8776,0.2276,0.2224,0.1379,0.0707,0.0707,2.2646,0.0665,0.0665,0.1245,0.1228,0.3253,0.3179,0.0828,0.081,0.0619,0.025,0.025,0.0872,0.0872,0.1549,0.1535,0.4129,0.4057,0.0987,0.0971,0.0667,0.0305,0.0305,113.0,72.0,1571.0,3945.0,200.0,114.0,518.0,179.0,132.0,67.0,134.0,41.0,27.0,2677.528,0.1612,0.1027,0.2853,0.1626,0.7389,0.2553,0.1883,0.0956,0.1912,0.0585,0.0385,0.04,0.03,0.07,0.04,0.19,0.07,0.05,0.03,0.05,0.02,0.01,A2
5,The Walking Dead-S01E06-TS-19.English,3.0,2.0,9.0,46.0,5.0,4.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,7.507,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,1.07,3.33,1.56,2.18,2.18,1.37,1.37,1.33,1.5,1.5,0.1968,0.1881,2.6816,13.4747,0.3603,0.3488,0.7931,0.7656,0.1679,0.1664,0.1172,0.0695,0.0695,2.2943,0.0737,0.0696,0.1406,0.1328,0.2914,0.2781,0.0649,0.0645,0.0483,0.0217,0.0217,0.0848,0.0814,0.1637,0.1578,0.3454,0.3336,0.0763,0.0758,0.0539,0.0308,0.0308,136.0,67.0,1853.0,4536.0,249.0,125.0,548.0,174.0,116.0,74.0,199.0,48.0,34.0,2709.183,0.1746,0.086,0.3196,0.1605,0.7035,0.2234,0.1489,0.095,0.2555,0.0616,0.0436,0.05,0.02,0.09,0.05,0.2,0.06,0.04,0.03,0.07,0.02,0.01,A2
6,AmericanBeauty1999.BRRip,3.0,3.0,11.0,50.0,4.0,4.0,7.0,7.0,4.0,4.0,2.0,4.0,3.0,15.0,1.0,1.0,3.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.11,1.11,1.31,1.31,1.84,1.71,1.55,1.55,0.89,1.0,1.0,0.259,0.2581,3.2978,16.6079,0.4467,0.4423,1.2062,1.1753,0.3022,0.296,0.0846,0.1295,0.1278,3.1131,0.0701,0.0698,0.1339,0.1314,0.3684,0.3564,0.0826,0.0807,0.039,0.0373,0.0367,0.0779,0.0777,0.1396,0.1381,0.3762,0.367,0.0931,0.0915,0.0301,0.0402,0.0397,294.0,148.0,3743.0,8224.0,507.0,209.0,1369.0,308.0,343.0,153.0,130.0,147.0,64.0,6940.088,0.2108,0.1061,0.3634,0.1498,0.9814,0.2208,0.2459,0.1097,0.0932,0.1054,0.0459,0.04,0.02,0.07,0.03,0.2,0.04,0.05,0.02,0.02,0.02,0.01,B1
7,Angelas.Christmas.Wish.2020,2.0,2.0,9.0,47.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,5.84,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.19,1.19,1.83,1.83,2.17,2.17,1.19,1.19,1.67,1.19,1.19,0.1434,0.138,2.6272,12.2061,0.4194,0.3996,0.9695,0.9409,0.1254,0.1219,0.1237,0.0663,0.0645,1.9487,0.0553,0.0523,0.186,0.1725,0.3707,0.3547,0.047,0.046,0.055,0.0268,0.0259,0.0689,0.067,0.2109,0.2051,0.4872,0.4741,0.0599,0.0586,0.069,0.035,0.0342,80.0,34.0,1466.0,2567.0,234.0,79.0,541.0,171.0,70.0,37.0,133.0,37.0,7.0,2575.6,0.1619,0.0688,0.4737,0.1599,1.0951,0.3462,0.1417,0.0749,0.2692,0.0749,0.0142,0.03,0.01,0.09,0.03,0.21,0.07,0.03,0.01,0.05,0.01,0.0,B1
8,Indiana Jones And The Last Crusade DVDRip Xvid -IZON-,3.0,3.0,7.0,41.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,5.734,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.6,1.6,1.88,1.6,3.22,3.22,1.47,1.36,2.01,1.5,1.4,0.2117,0.2103,2.4745,11.724,0.3082,0.3054,0.7317,0.7177,0.1565,0.1551,0.1034,0.0741,0.0734,2.0015,0.0852,0.0848,0.1242,0.1221,0.3079,0.2984,0.0587,0.0578,0.0527,0.03,0.0293,0.1117,0.1111,0.1546,0.1532,0.3972,0.3893,0.0811,0.0802,0.0564,0.0358,0.0353,303.0,141.0,3541.0,7294.0,441.0,183.0,1047.0,275.0,224.0,112.0,244.0,106.0,50.0,7086.598,0.2469,0.1149,0.3594,0.1491,0.8533,0.2241,0.1826,0.0913,0.1989,0.0864,0.0407,0.04,0.02,0.06,0.03,0.15,0.04,0.03,0.02,0.03,0.01,0.01,B1
9,mechanic-resurrection_,3.0,3.0,9.0,58.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,6.632,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.67,1.67,1.5,1.5,2.25,2.25,1.23,1.2,1.0,1.0,1.0,0.2357,0.2342,2.8752,14.8074,0.3991,0.3991,0.8536,0.8459,0.2388,0.2357,0.1402,0.1263,0.1263,2.3199,0.0731,0.0726,0.1371,0.1371,0.3119,0.3084,0.0735,0.0722,0.0584,0.0523,0.0523,0.0941,0.0937,0.1765,0.1765,0.383,0.3796,0.099,0.0973,0.067,0.0543,0.0543,153.0,101.0,1866.0,5341.0,259.0,126.0,554.0,222.0,155.0,86.0,156.0,82.0,37.0,5471.226,0.1678,0.1107,0.284,0.1382,0.6075,0.2434,0.17,0.0943,0.1711,0.0899,0.0406,0.03,0.02,0.05,0.02,0.1,0.04,0.03,0.02,0.03,0.01,0.01,B1
